2025-06-18 10:13:01,502 - INFO - Creado estándar para producto 10210202485, proceso: 1020, máquina 1002
2025-06-18 10:13:01,504 - INFO - Creado estándar para producto 10210202485, proceso: 2150, máquina 1207
2025-06-18 10:13:01,515 - INFO - Creado estándar para producto 10210202485, proceso: 2395, máquina 1421
2025-06-18 10:13:01,518 - INFO - Creado estándar para producto 10210202485, proceso: 2320, máquina 1601
2025-06-18 10:13:01,520 - INFO - Creado estándar para producto 10210202485, proceso: 3060, máquina 2003
2025-06-18 10:13:01,522 - INFO - Creado estándar para producto 10210202485, proceso: 6090, máquina 6010
2025-06-18 10:13:01,524 - INFO - Creado estándar para producto 10210202728, proceso: 1020, máquina 1002
2025-06-18 10:13:01,527 - INFO - Creado estándar para producto 10210202728, proceso: 2150, máquina 1207
2025-06-18 10:13:01,529 - INFO - Creado estándar para producto 10210202728, proceso: 2395, máquina 1431
2025-06-18 10:13:01,532 - INFO - Creado estándar para producto 10210202728, proceso: 2320, máquina 1601
2025-06-18 10:13:01,536 - INFO - Creado estándar para producto 10210202728, proceso: 3060, máquina 2003
2025-06-18 10:13:01,538 - INFO - Creado estándar para producto 10210202809, proceso: 1020, máquina 1002
2025-06-18 10:13:01,541 - INFO - Creado estándar para producto 10210202809, proceso: 2150, máquina 1207
2025-06-18 10:13:01,544 - INFO - Creado estándar para producto 10210202809, proceso: 2395, máquina 1421
2025-06-18 10:13:01,547 - INFO - Creado estándar para producto 10210202809, proceso: 2320, máquina 1601
2025-06-18 10:13:01,549 - INFO - Creado estándar para producto 10210202809, proceso: 3060, máquina 2003
2025-06-18 10:13:01,551 - INFO - Creado estándar para producto 10210202809, proceso: 6090, máquina 6010
2025-06-18 10:13:01,555 - INFO - Creado estándar para producto 10210203201, proceso: 1020, máquina 1002
2025-06-18 10:13:01,560 - INFO - Creado estándar para producto 10210203201, proceso: 2150, máquina 1207
2025-06-18 10:13:01,563 - INFO - Creado estándar para producto 10210203201, proceso: 2395, máquina 1431
2025-06-18 10:13:01,566 - INFO - Creado estándar para producto 10210203201, proceso: 2320, máquina 1601
2025-06-18 10:13:01,569 - INFO - Creado estándar para producto 10210203201, proceso: 3060, máquina 2003
2025-06-18 10:13:01,571 - INFO - Creado estándar para producto 10210240328, proceso: 1020, máquina 1002
2025-06-18 10:13:01,573 - INFO - Creado estándar para producto 10210240328, proceso: 2150, máquina 1203
2025-06-18 10:13:01,579 - INFO - Creado estándar para producto 10210240328, proceso: 2370, máquina 1402
2025-06-18 10:13:01,582 - INFO - Creado estándar para producto 10210240328, proceso: 2320, máquina 1601
2025-06-18 10:13:01,584 - INFO - Creado estándar para producto 10210240328, proceso: 3060, máquina 2002
